,Unnamed: 0,begin,end,filename,shot_id,transcript,daily life,score
1357,1357,01:13:09:01,01:13:18:08,5245830105934359183.xml,1358,"What's her problem?  Oh, same as it ever was.  Thanks, love. ",0.9726144671440125,0.9726144671440125
17706,17706,00:07:28:17,00:07:29:02,5269245838135402929.xml,170,It's just been one of those days. ,0.9710063934326172,0.9710063934326172
5910,5910,01:21:59:11,01:22:07:14,5251033029316736209.xml,1594,Don't you think  I tell myself that every day?,0.9696274399757385,0.9696274399757385
20730,20730,01:31:20:05,01:31:23:16,5271844722846213628.xml,1700,You could always  resort to your usual.,0.9691864848136902,0.9691864848136902
5413,5413,00:56:25:15,00:56:28:12,5251033029316736209.xml,1097,"You've got school,  your play, and now your job.",0.9691148400306702,0.9691148400306702
16108,16108,00:33:18:08,00:33:22:11,5266645664934403562.xml,677,"And how about the rest of the family?  Like all families, they have  their ups and downs. Up and Downs?",0.9685139656066895,0.9685139656066895
8777,8777,00:04:08:15,00:04:11:04,5256228221757951173.xml,66,The cooker's on the blink.  From day to day I don't know what it's gonna do.,0.9680384397506714,0.9680384397506714
20683,20683,01:28:10:20,01:28:12:11,5271844722846213628.xml,1653,"cook their dinner, put 'em to bed,  Welcome to my world, Whit.",0.9673049449920654,0.9673049449920654
5461,5461,00:59:15:12,00:59:16:12,5251033029316736209.xml,1145,I'm working... ,0.9629526734352112,0.9629526734352112
21008,21008,01:50:12:22,01:50:14:07,5271844722846213628.xml,1978,Where I always am.  Keeping this  family together.,0.9628958702087402,0.9628958702087402
10282,10282,01:31:56:16,01:31:58:22,5256228221757951173.xml,1571,go through the motions. ,0.9616787433624268,0.9616787433624268
7498,7498,00:50:11:19,00:50:16:11,5253646087419594905.xml,889,"Well, apparently the feedback  on me is always the same. Oh, right?",0.9610337018966675,0.9610337018966675
19842,19842,00:42:08:24,00:42:12:16,5271844722846213628.xml,812,"Cos I've gotta go down  the Old Bill, pick up my motor. Fire this up for me.",0.9609388113021851,0.9609388113021851
275,275,00:16:30:00,00:16:33:14,5245830105934359183.xml,276,"Hey, look, you are as much a part  of things round here as anyone.",0.9600134491920471,0.9600134491920471
20846,20846,01:38:17:14,01:38:19:03,5271844722846213628.xml,1816,It's only natural. ,0.9596174359321594,0.9596174359321594
9252,9252,00:32:12:10,00:32:13:05,5256228221757951173.xml,541,I'm just going out as well.  I'll come with you.,0.9578202962875366,0.9578202962875366
1867,1867,01:42:39:22,01:42:43:11,5245830105934359183.xml,1868,Every day I'm with you  I just love you more. You're the only woman  in the world for me.,0.9567607641220093,0.9567607641220093
3613,3613,01:15:37:05,01:15:40:12,5248439298566680341.xml,1533,"what she was like, she's just going  through the exact same thing. Yeah, maybe you're right.",0.9566121697425842,0.9566121697425842
4561,4561,00:12:07:18,00:12:11:05,5251033029316736209.xml,245,Probably just a cold.  Always  coming down with something or other.,0.9561501741409302,0.9561501741409302
12609,12609,01:44:27:06,01:44:29:02,5258818087037440299.xml,1978,That's what I've been doing. ,0.9559661149978638,0.9559661149978638
20561,20561,01:20:23:19,01:20:33:15,5271844722846213628.xml,1531,"Someone's gotta be there when  Max wakes up. No, no, sorry. Well, I can't not show up,  as much as I don't want to. Yeah, well, um... ",0.955703616142273,0.955703616142273
19879,19879,00:44:41:17,00:44:44:14,5271844722846213628.xml,849,She lives to see another day. ,0.9542698860168457,0.9542698860168457
22417,22417,01:12:09:07,01:12:12:20,5274434588125702436.xml,1324,Deal with it. ,0.954078197479248,0.954078197479248
10405,10405,01:40:03:00,01:40:06:10,5256228221757951173.xml,1694,Someone's got to pick  the kids up from school.,0.9530145525932312,0.9530145525932312
366,366,00:21:11:07,00:21:18:15,5245830105934359183.xml,367,"Right.  Go on, you'd better get on. Yeah.",0.9513088464736938,0.9513088464736938
22010,22010,00:51:20:09,00:51:25:03,5274434588125702436.xml,917,Yep.  Yeah.  That's what happens. ,0.950334906578064,0.950334906578064
10281,10281,01:31:52:01,01:31:56:15,5256228221757951173.xml,1570,"I've gotta put in an application,  I've gotta fill in forms,",0.9485655426979065,0.9485655426979065
965,965,00:53:10:04,00:53:12:13,5245830105934359183.xml,966,"It does, it does. ",0.946104109287262,0.946104109287262
18069,18069,00:28:24:11,00:28:28:08,5269245838135402929.xml,533,"Done your homework?  Yeah.  I know, what's the point, but  we've got to carry on as normal.",0.9427551627159119,0.9427551627159119
17751,17751,00:09:24:00,00:09:30:14,5269245838135402929.xml,215,"You should be focusing on your  routine, not worrying about Tanya.",0.9396575689315796,0.9396575689315796
17433,17433,01:49:00:23,01:49:04:08,5266645664934403562.xml,2002,"But you, you've just got to  ride with it.  And, Ben -",0.9395009279251099,0.9395009279251099
14386,14386,01:22:13:10,01:22:17:01,5264050645694159353.xml,1537,Now...bus fare. ,0.9378169178962708,0.9378169178962708
14715,14715,01:40:08:14,01:40:11:16,5264050645694159353.xml,1866,He lives in that world. ,0.936964213848114,0.936964213848114
22596,22596,01:23:03:15,01:23:06:12,5274434588125702436.xml,1503,"Bianca's at work, ",0.9307600259780884,0.9307600259780884
10181,10181,01:26:33:12,01:26:39:16,5256228221757951173.xml,1470,"Milk, two sugars, right?  Right.  As always. ",0.9290740489959717,0.9290740489959717
5468,5468,00:59:32:21,00:59:36:07,5251033029316736209.xml,1152,"Listen, I've got to shift  my bum over to the cafe.",0.9283584952354431,0.9283584952354431
21147,21147,00:03:02:11,00:03:04:03,5274434588125702436.xml,54,"I loved that car, don't get me  wrong.  But this is real, Dad.",0.9279167056083679,0.9279167056083679
20163,20163,00:59:27:20,00:59:28:21,5271844722846213628.xml,1133,Where's Jack?  You've gotta get to school.,0.9248359203338623,0.9248359203338623
12942,12942,00:05:09:19,00:05:11:10,5264050645694159353.xml,93,All day.  All day.,0.9246174693107605,0.9246174693107605
10446,10446,01:42:22:20,01:42:26:05,5256228221757951173.xml,1735,"My life.  And I've  gotta get back to it. Why, eh? ",0.9237349629402161,0.9237349629402161
11822,11822,00:59:42:01,00:59:56:00,5258818087037440299.xml,1191,"You still going to the gym today?  Yep.  Thought I'd come with ya.  What?  Well, to the gym.  I thought I'd come along and check it out.",0.9229920506477356,0.9229920506477356
18513,18513,00:56:23:21,00:56:26:06,5269245838135402929.xml,977,"Yeah.  You do whatever's  necessary, don't you Jack?",0.9217705726623535,0.9217705726623535
7001,7001,00:22:45:12,00:22:48:16,5253646087419594905.xml,392,The laundrette'll be closing soon.  You'd better get going. Yeah.,0.9215072989463806,0.9215072989463806
12331,12331,01:26:43:13,01:26:48:12,5258818087037440299.xml,1700,"yes, it happens to us all...  the day that I met Mr Beale. ",0.9200397729873657,0.9200397729873657
524,524,00:30:14:04,00:30:43:06,5245830105934359183.xml,525,"Look if you can't find it...  No, it's definitely here somewhere... As you can see big sis  is as messy as ever. You're a brave man  moving in with her. She's having a house warming later,  few people from the Square.  She wondered if you and Tanya wanted to come. Me and Tan?  Yeah, you know what she's like, all last minute. She come up with the  idea last night, said who she wanted to invite... What and you're all right with that?  Well, she put the list together,  I ain't got a problem with it.",0.9199658036231995,0.9199658036231995
13706,13706,00:42:37:16,00:42:45:03,5264050645694159353.xml,857,"Look, you've been round the block a  few times, you know the score. Yeah. Maybe I do. ",0.9197260141372681,0.9197260141372681
10024,10024,01:16:23:19,01:16:25:20,5256228221757951173.xml,1313,"Boring, but fine. ",0.9182395935058594,0.9182395935058594
17004,17004,01:25:08:08,01:25:10:16,5266645664934403562.xml,1573,Work. ,0.9181439876556396,0.9181439876556396
15682,15682,00:12:27:15,00:12:30:05,5266645664934403562.xml,251,He's...he's the same. ,0.9149529337882996,0.9149529337882996
4114,4114,01:44:15:05,01:44:18:18,5248439298566680341.xml,2034,But you do. ,0.9134413599967957,0.9134413599967957
11226,11226,00:29:13:19,00:29:23:08,5258818087037440299.xml,595,"so get dressed.  I bet Gordon Brown never had to put up with this. Strictly speaking,  Gordon Brown never got elected. Morning.  Morning. A politician's work is never done, eh?",0.9126912951469421,0.9126912951469421
10030,10030,01:16:37:00,01:16:40:06,5256228221757951173.xml,1319,"I've gotta, ain't I?  Well, what you come for?",0.9107205271720886,0.9107205271720886
6627,6627,00:01:45:03,00:01:51:07,5253646087419594905.xml,18,I've got to be in all day anyway on  account of the vicar having asked me,0.9086320996284485,0.9086320996284485
16528,16528,00:57:17:02,00:57:19:08,5266645664934403562.xml,1097,I'm used to dealing  with sleazy characters.,0.9085483551025391,0.9085483551025391
19860,19860,00:43:19:14,00:43:25:10,5271844722846213628.xml,830,Course she does. ,0.9085273146629333,0.9085273146629333
2208,2208,00:07:19:24,00:07:25:23,5248439298566680341.xml,128,Shut up and get on with it. ,0.9080986976623535,0.9080986976623535
12905,12905,00:03:05:12,00:03:06:23,5264050645694159353.xml,56,I've only got one pair of hands!  I can't stock the shelves and serve the customers.,0.9076972007751465,0.9076972007751465
7314,7314,00:40:21:13,00:40:26:17,5253646087419594905.xml,705,"then I'll just have to manage,  won't I?",0.9072892069816589,0.9072892069816589
19266,19266,00:11:46:13,00:11:50:04,5271844722846213628.xml,236,Should my ears be burning?  It's nothing you ain't heard before.,0.9058623909950256,0.9058623909950256
8343,8343,01:36:45:03,01:36:48:06,5253646087419594905.xml,1734,"You'll do nothing,  she won't talk to me. All I get is breakfast in my face,  so what else we gonna to do?",0.9054659008979797,0.9054659008979797
589,589,00:33:44:06,00:33:45:19,5245830105934359183.xml,590,"Yeah, so are we. ",0.9050663709640503,0.9050663709640503
14714,14714,01:40:05:16,01:40:08:13,5264050645694159353.xml,1865,"Whereas him...  that's what he does, innit?",0.9038825631141663,0.9038825631141663
20692,20692,01:28:50:06,01:28:52:14,5271844722846213628.xml,1662,I'm gonna be up to my neck in it  here all day!,0.9037455320358276,0.9037455320358276
14308,14308,01:18:03:07,01:18:06:00,5264050645694159353.xml,1459,"You should, Max,  cos it's gonna happen. Why?",0.9033358693122864,0.9033358693122864
731,731,00:40:28:13,00:40:32:01,5245830105934359183.xml,732,"I see Ian everyday, doesn't  mean I'm gonna start inviting him for drinks.",0.9022837281227112,0.9022837281227112
791,791,00:44:05:24,00:44:08:00,5245830105934359183.xml,792,"Because me and him,  we're at it like rabbits.",0.9007083773612976,0.9007083773612976
18666,18666,01:06:49:20,01:06:57:23,5269245838135402929.xml,1130,"Everyone's got a price, ain't they? ",0.9003168940544128,0.9003168940544128
19306,19306,00:13:45:05,00:13:49:00,5271844722846213628.xml,276,You heard what the midwife said.  These things happen.,0.8989443778991699,0.8989443778991699
15236,15236,02:12:04:17,02:12:11:09,5264050645694159353.xml,2387,"Everything has to be  in its place, yeah? This house, your kids, your life.  You can never just let go, can ya?",0.8982983827590942,0.8982983827590942
13421,13421,00:28:12:10,00:28:18:17,5264050645694159353.xml,572,Morning... ,0.8975539803504944,0.8975539803504944
23080,23080,01:51:59:10,01:52:05:24,5274434588125702436.xml,1987,Nobody wants me.  Nobody cares about me. ,0.8974475860595703,0.8974475860595703
9132,9132,00:23:30:00,00:23:35:02,5256228221757951173.xml,421,No.  I've just got something to do. ,0.8947111964225769,0.8947111964225769
6117,6117,01:31:27:04,01:31:41:10,5251033029316736209.xml,1801,"I thought you'd fallen down  the pan. Yeah, I'm sorry. If it takes you an hour to clean  the toilets, you'll be here all day. I'm not sure...  The soap dispensers were bunked up and I couldn't open them.",0.8946035504341125,0.8946035504341125
16158,16158,00:35:44:22,00:35:46:12,5266645664934403562.xml,727,"It is just us.  Yeah, course it is.  Yeah.",0.8907763957977295,0.8907763957977295
8817,8817,00:05:39:05,00:05:44:16,5256228221757951173.xml,106,"Er, where's he going?  A man's just got to be a man  sometimes, Peggy.  There's some more glass to clear up.",0.8898611068725586,0.8898611068725586
22655,22655,01:26:27:07,01:26:29:00,5274434588125702436.xml,1562,That's so typical of you.  You always think the worst of me. What am I supposed to think?,0.8883461356163025,0.8883461356163025
6065,6065,01:29:44:17,01:29:46:04,5251033029316736209.xml,1749,It's all in there. ,0.888055145740509,0.888055145740509
14341,14341,01:19:30:03,01:19:34:03,5264050645694159353.xml,1492,"Like everyone else.  Your dad,  your brother, your wife, your son.",0.8873303532600403,0.8873303532600403
21809,21809,00:39:09:13,00:39:13:15,5274434588125702436.xml,716,"Fetch, boy! ",0.8863089084625244,0.8863089084625244
2990,2990,00:46:57:10,00:46:59:05,5248439298566680341.xml,910,"You go to the school,  talk to the teachers...",0.8856720924377441,0.8856720924377441
20649,20649,01:26:03:00,01:26:05:02,5271844722846213628.xml,1619,"Yeah...pretty much the same as he  always was. Oh, well, I'll wait then. Don't wanna crowd him.",0.8848082423210144,0.8848082423210144
21288,21288,00:10:28:22,00:10:33:00,5274434588125702436.xml,195,"I've got a few questions  I need to ask you. Same here, as it goes. ",0.8846551775932312,0.8846551775932312
7938,7938,01:15:21:23,01:15:34:20,5253646087419594905.xml,1329,"And every day I'm looking  at that one person, wondering, thinking...  Come on.  One for the road. ",0.8840869069099426,0.8840869069099426
17106,17106,01:30:47:01,01:30:52:08,5266645664934403562.xml,1675,"Well, these people,  you know already. Yeah?",0.8839738965034485,0.8839738965034485
19131,19131,00:05:13:15,00:05:15:21,5271844722846213628.xml,101,We'll have to carry on.  What else can we do?  Poor cow.,0.8835929036140442,0.8835929036140442
14454,14454,01:26:24:18,01:26:29:06,5264050645694159353.xml,1605,Only every minute. ,0.881888210773468,0.881888210773468
9925,9925,01:10:25:10,01:10:28:00,5256228221757951173.xml,1214,What else am I supposed to do? ,0.8811627626419067,0.8811627626419067
11309,11309,00:33:08:04,00:33:09:14,5258818087037440299.xml,678,"Well, it's something to do, innit? ",0.8800208568572998,0.8800208568572998
1649,1649,01:29:30:03,01:29:33:05,5245830105934359183.xml,1650,"Fine, you carry on as you are, then.  What do I do?",0.8775097727775574,0.8775097727775574
12287,12287,01:24:06:08,01:24:19:07,5258818087037440299.xml,1656,So do I. ,0.8750476241111755,0.8750476241111755
6504,6504,01:52:27:13,01:52:29:22,5251033029316736209.xml,2188,"Have you got any idea what kind  of day I've had? Yeah, I...",0.8720011115074158,0.8720011115074158
14372,14372,01:21:12:01,01:21:16:07,5264050645694159353.xml,1523,All right?  You do it to me. ,0.8719240427017212,0.8719240427017212
11193,11193,00:27:19:06,00:27:25:00,5258818087037440299.xml,562,"I suppose it's to be expected,  a few bumps along the way.",0.8715320229530334,0.8715320229530334
17693,17693,00:07:07:00,00:07:08:09,5269245838135402929.xml,157,"Yeah.  Yes, it is.  And...you'll be serving. I'll be there.",0.8713631629943848,0.8713631629943848
11591,11591,00:47:54:14,00:48:08:17,5258818087037440299.xml,960,"He didn't go to work this morning.  I can't get no sense out of him.  What makes you think I'll succeed where you failed? Cos you're his father.  God help him.  Well, that don't seem to count for much these days. If you had one ounce of feeling for  that boy, you'd go and talk to him.",0.8699798583984375,0.8699798583984375
282,282,00:16:52:24,00:16:59:12,5245830105934359183.xml,283,"Yeah, course I do.  Then stop bending with the wind. If you want something,  you gotta learn to stand your ground and get it.",0.8688274621963501,0.8688274621963501
2419,2419,00:18:23:04,00:18:26:06,5248439298566680341.xml,339,"I'm a bit busy now, all right.  All right, fine.",0.8677051067352295,0.8677051067352295
7893,7893,01:12:08:20,01:12:13:08,5253646087419594905.xml,1284,"I mean, you get chatted up  a hundred times a day on that stall, right?",0.8652675747871399,0.8652675747871399
18502,18502,00:55:45:22,00:55:54:12,5269245838135402929.xml,966,In you go. ,0.8641855716705322,0.8641855716705322
12082,12082,01:12:24:20,01:12:36:23,5258818087037440299.xml,1451,"Er...I don't think so.  I wanna see her.  Well, we don't always get what we want in this life, do we, Veronica? And I don't suppose you want to make  a scene when your sister's feeling poorly. You don't care about Roxy!",0.8639661073684692,0.8639661073684692
2194,2194,00:06:04:14,00:06:37:10,5248439298566680341.xml,114,"You don't want Tiffany  back in your room? I need my privacy.  I've got exams.  Funny how she's caring about exams all of a sudden. You didn't worry about that before.  I need my space. Have a word with her. Do what Bianca says.  Thank you. That ain't fair!  It weren't fair when I went to prison. But that's what life's like.  Yeah, exactly. How you getting on there, Pat?  Instruction manuals... I can't make head nor tail.  Don't look at me.  Me old one didn't have all this nonsense. Set time, date...  I can't make  this out, it's all double Dutch.",0.8620210886001587,0.8620210886001587
461,461,00:27:33:23,00:27:36:10,5245830105934359183.xml,462,"Get with it, stay focused! ",0.8610426783561707,0.8610426783561707
187,187,00:11:26:02,00:11:26:23,5245830105934359183.xml,188,"Well, I've got stuff  to do before I go out.",0.8588631749153137,0.8588631749153137
6622,6622,00:00:55:20,00:01:15:21,5253646087419594905.xml,13,"Tiny, in fact.  # We plough the fields and scatter  The good...  # Don't stop.  That sounded great.  This is supposed to take my mind off  the meeting tomorrow, but I'm not feeling it. And the church organist is coming  to rehearse this afternoon.",0.8575872182846069,0.8575872182846069
12760,12760,01:53:21:16,01:53:22:23,5258818087037440299.xml,2129,# Sooner or later  Gotta cut you down,0.8568399548530579,0.8568399548530579
12763,12763,01:53:25:18,01:53:26:21,5258818087037440299.xml,2132,# Sooner or later  Gotta cut you down,0.8568399548530579,0.8568399548530579
20394,20394,01:11:23:11,01:11:25:10,5271844722846213628.xml,1364,"You'd better get used to that.  And what's she gotta get used to, eh? An ageing trolley dolly for  a father. Whose fault is that?",0.8562732934951782,0.8562732934951782
18895,18895,01:19:53:05,01:20:02:06,5269245838135402929.xml,1359,"Constantly.  Is Ronnie upstairs as well?  Nope. She is coming, though?  What am I, her keeper?",0.8555073142051697,0.8555073142051697
21495,21495,00:23:39:20,00:23:41:04,5274434588125702436.xml,402,"You do it, an' all.  You're having a laugh, aren't ya?",0.8544309139251709,0.8544309139251709
742,742,00:40:53:22,00:40:58:06,5245830105934359183.xml,743,"I won't.  All right, I wont be late. ",0.8543369770050049,0.8543369770050049
2218,2218,00:07:48:16,00:07:49:23,5248439298566680341.xml,138,"Yay, we got it.  OK, kids,  you can get ready for school. Come on, then. Come on, then.",0.8538768291473389,0.8538768291473389
2012,2012,01:50:20:14,01:50:27:02,5245830105934359183.xml,2013,You know. ,0.8533093333244324,0.8533093333244324
21884,21884,00:43:38:19,00:44:26:17,5274434588125702436.xml,791,"Hello.  Hello, Lauren. It's Tony King from the youth centre. 'I was just wondering, why don't you  ever play table tennis any more?' This stuff with my mum.  I just thought it might give  you something else to focus on. 'Might even make you feel better.  'How are things?'  I don't know.  'Yeah, well,' sometimes, people closest to us  find it harder to talk about stuff. I tell you what,  'you're not the only one  mental about Pure Lightning.' What d'you mean?  'Some of the kids,' they've been going on about this gig.  Saying that we should go. 'Would you be up for that?'  Yeah. If you want to talk.  Any time.  You know that.",0.8523677587509155,0.8523677587509155
20991,20991,01:48:54:14,01:48:59:23,5271844722846213628.xml,1961,"You know me, always got an eye out. ",0.8523364663124084,0.8523364663124084
23066,23066,01:49:37:23,01:49:42:08,5274434588125702436.xml,1973,..it was real. ,0.8518581986427307,0.8518581986427307
11856,11856,01:01:53:02,01:01:56:03,5258818087037440299.xml,1225,"Today.  All right,  I'll tell him today.",0.8515772223472595,0.8515772223472595
7611,7611,00:56:11:13,00:56:13:17,5253646087419594905.xml,1002,I don't need asking twice. ,0.8512085676193237,0.8512085676193237
21853,21853,00:41:51:22,00:41:54:21,5274434588125702436.xml,760,Cos she did. ,0.8506950736045837,0.8506950736045837
3408,3408,01:06:51:00,01:06:57:05,5248439298566680341.xml,1328,"I'm just gonna grab a paper,  all right? Peggy!  Guess what? ",0.8505258560180664,0.8505258560180664
12519,12519,01:39:34:00,01:39:39:06,5258818087037440299.xml,1888,"None of us are perfect, are we?  You know, we all just try and do  the right thing, hope for the best.",0.8503618836402893,0.8503618836402893
7414,7414,00:44:47:08,00:44:49:17,5253646087419594905.xml,805,Shotguns.  Bradley and Stacey are for real.,0.8480003476142883,0.8480003476142883
12886,12886,00:02:22:24,00:02:25:12,5264050645694159353.xml,37,"Me, the kids and Oscar get a taxi  at 4 o'clock, train leaves St Pancras at 6 o'clock,",0.8454489707946777,0.8454489707946777
2166,2166,00:04:34:19,00:04:38:11,5248439298566680341.xml,86,I'm off to work.  See you later.,0.8450274467468262,0.8450274467468262
796,796,00:44:14:11,00:44:16:07,5245830105934359183.xml,797,I was honest about that.  And so am I?,0.8450117707252502,0.8450117707252502
21362,21362,00:15:53:00,00:15:54:11,5274434588125702436.xml,269,"Yeah, right as rain. ",0.8442060351371765,0.8442060351371765
650,650,00:36:47:23,00:36:49:04,5245830105934359183.xml,651,"That's the deal,  take it or leave it.",0.8434257507324219,0.8434257507324219
21236,21236,00:07:44:13,00:07:49:04,5274434588125702436.xml,143,Don't you think I've done that  a million times since Bradley dropped the bomb?,0.8433170914649963,0.8433170914649963
4521,4521,00:09:56:13,00:10:02:21,5251033029316736209.xml,205,"Beggars can't be choosers, not  with the price of food these days. How much is that, then?",0.8395470976829529,0.8395470976829529
12891,12891,00:02:35:07,00:02:38:07,5264050645694159353.xml,42,So you and the van... ,0.8380316495895386,0.8380316495895386
454,454,00:27:15:00,00:27:17:22,5245830105934359183.xml,455,"Nice and easy, keep on the move... ",0.8361437916755676,0.8361437916755676
22763,22763,01:31:37:17,01:31:46:10,5274434588125702436.xml,1670,"Why's that?  I'd better get going, don't want  to be late for school. No. But if you ever do want to talk... ",0.8360227942466736,0.8360227942466736
17845,17845,00:15:11:13,00:15:13:08,5269245838135402929.xml,309,I'm going to go and do what we said. ,0.8359487056732178,0.8359487056732178
19,19,00:01:14:10,00:01:19:14,5245830105934359183.xml,20,"Would you like a tip?  Opening doors, that smile... ",0.8357186913490295,0.8357186913490295
5079,5079,00:37:58:19,00:38:02:06,5251033029316736209.xml,763,How much d'you take this morning?  Apart from her tenner?,0.830947995185852,0.830947995185852
16057,16057,00:31:14:04,00:31:15:18,5266645664934403562.xml,626,He does my head in.  Everyone does your head in.,0.8302281498908997,0.8302281498908997
15540,15540,00:05:08:22,00:05:10:07,5266645664934403562.xml,109,"That's what we're doing.  Yeah, all right.",0.8293542861938477,0.8293542861938477
20618,20618,01:23:43:03,01:24:33:10,5271844722846213628.xml,1588,"Hey, you.  I'm your daddy.  You, you listen to me, all right?  You...  You hang in there!  You fight the good fight.  That's what we do best, us Slaters.  We never give up.  Ever.  I had to come. ",0.8291309475898743,0.8291309475898743
17613,17613,00:03:37:15,00:03:38:16,5269245838135402929.xml,77,Stay here.  You stay here. ,0.8287885785102844,0.8287885785102844
14355,14355,01:20:16:22,01:20:18:15,5264050645694159353.xml,1506,"Cos I am gonna do it, mate. ",0.8280511498451233,0.8280511498451233
8253,8253,01:32:31:20,01:32:35:15,5253646087419594905.xml,1644,"She'll have forgotten about it  by next week, so will Lauren.",0.8279078602790833,0.8279078602790833
209,209,00:13:28:20,00:13:31:00,5245830105934359183.xml,210,"Sure, just roll over, let  me and Tanya get on with it?",0.8276078104972839,0.8276078104972839
2024,2024,01:50:51:19,01:50:57:01,5245830105934359183.xml,2025,"Now that I'm back,  it's gonna be just  like it was before.",0.8274423480033875,0.8274423480033875
19786,19786,00:39:14:22,00:39:20:14,5271844722846213628.xml,756,Lauren's PE kit needs washing  and Abi's uniform needs ironing.,0.8268541097640991,0.8268541097640991
22860,22860,01:36:26:22,01:36:29:19,5274434588125702436.xml,1767,Yeah.  Did you go to  the bank this morning?,0.8258956670761108,0.8258956670761108
4428,4428,00:05:02:23,00:05:04:12,5251033029316736209.xml,112,Morning. ,0.8232742547988892,0.8232742547988892
9202,9202,00:29:01:22,00:29:04:22,5256228221757951173.xml,491,Morning. ,0.8232742547988892,0.8232742547988892
17768,17768,00:10:47:14,00:10:50:22,5269245838135402929.xml,232,"From now on, you just...you just stay  here, right?",0.8224543333053589,0.8224543333053589
13907,13907,00:53:57:22,00:53:59:18,5264050645694159353.xml,1058,There is always gonna be  somebody that is better than me. Not for Darren.,0.8211628794670105,0.8211628794670105
2705,2705,00:32:32:16,00:32:34:21,5248439298566680341.xml,625,Morning!  Morning.,0.8207613229751587,0.8207613229751587
20224,20224,01:02:08:03,01:02:10:16,5271844722846213628.xml,1194,"Who asked you?  No-one. I'm just right there with you. I'm a parent. Yeah, of course.",0.8203391432762146,0.8203391432762146
19877,19877,00:44:34:06,00:44:40:02,5271844722846213628.xml,847,She went into premature  labour yesterday. She all right?  Yeah. Making everyone jump through hoops  as usual. Is the baby all right?,0.817082941532135,0.817082941532135
12930,12930,00:04:53:15,00:04:54:10,5264050645694159353.xml,81,"You can't help yourself, can you? ",0.8145171999931335,0.8145171999931335
15109,15109,02:04:47:15,02:04:52:19,5264050645694159353.xml,2260,"You're always here,  clearing up everyone else's mess.",0.8138017058372498,0.8138017058372498
11008,11008,00:17:09:05,00:17:12:02,5258818087037440299.xml,377,"Coq au vin for dinner tonight!  There you go - nothing earth-shattering.  Hello, girls!",0.8131095170974731,0.8131095170974731
