,Unnamed: 0,begin,end,filename,shot_id,transcript,topic,score,score_hf
12463,12463,01:36:08:16,01:36:10:23,5258818087037440299.xml,1832,"Well, it's a good job Jack  was passing when he was.",events,,0.9783384203910828
2409,2409,00:17:54:16,00:18:01:21,5248439298566680341.xml,329,"It was after he'd gone,  I realised you were there that day. Well, what day was this?  The day I was sorting out his flat.",events,,0.978300154209137
3365,3365,01:04:56:07,01:04:57:20,5248439298566680341.xml,1285,She's back on my  little sister's stall.,events,,0.9782431125640869
11927,11927,01:05:05:08,01:05:07:12,5258818087037440299.xml,1296,I went to see Joel. ,events,,0.9782000184059143
13722,13722,00:43:23:10,00:43:24:04,5264050645694159353.xml,873,"He came out in his trainers,  didn't he?",events,,0.978140115737915
10815,10815,00:07:13:18,00:07:16:02,5258818087037440299.xml,184,BANGING  He won't be for much longer with Bob the Builder there... BANGING  He won't be for much longer with Bob the Builder there...,events,,0.9781059622764587
7235,7235,00:35:31:08,00:35:37:11,5253646087419594905.xml,626,"Yeah, well, they weren't the best  years of my life either.",events,,0.9780046343803406
2085,2085,00:00:38:18,00:00:40:03,5248439298566680341.xml,5,Liam's been farting.  Eh?!,events,,0.9779717326164246
18066,18066,00:28:05:11,00:28:12:13,5269245838135402929.xml,530,"So, just to clarify.  You are saying that you were driving  the car that hit Max Branning on the night of 31 October?",events,,0.9779506921768188
10701,10701,00:03:06:15,00:03:10:04,5258818087037440299.xml,70,"You lost something?  Yes, as it happens - my figure.",events,,0.9779422879219055
22267,22267,01:05:38:23,01:05:42:19,5274434588125702436.xml,1174,I've just had my tenants  from Victoria Road on the phone. They've moving out.,events,,0.9778350591659546
16349,16349,00:45:51:22,00:45:54:10,5266645664934403562.xml,918,"Yeah, someone tried to kill him. ",events,,0.9778057932853699
20077,20077,00:54:56:05,00:55:00:09,5271844722846213628.xml,1047,So you get yourself up to  that hospital and you give her a big cuddle from me.,events,,0.9777607917785645
6994,6994,00:22:09:15,00:22:17:12,5253646087419594905.xml,385,"Listen, Peter's, er,  Peter's your boyfriend, in't he? I just wanted to say that what  happened last week was unforgivable. There's no excuse.",events,,0.9773792028427124
5566,5566,01:04:59:07,01:05:03:05,5251033029316736209.xml,1250,Right.  Lunch is cancelled. ,events,,0.9772797226905823
5299,5299,00:50:39:02,00:50:42:13,5251033029316736209.xml,983,"Nevertheless, I am obliged to  report this to Environmental Health.",events,,0.9771182537078857
10668,10668,00:01:33:11,00:01:36:22,5258818087037440299.xml,37,"Ah, Bradley, I've had to shoot  off early from seeing Jim,",events,,0.9771022796630859
965,965,00:53:10:04,00:53:12:13,5245830105934359183.xml,966,"It does, it does. ",events,,0.9770855903625488
18250,18250,00:39:40:06,00:40:03:00,5269245838135402929.xml,714,"So it's not looking good then?  Only if you're prosecuting.  She sees her ex-husband  coming out of his house, jumps into a neighbour's car  and accelerates towards him. There's no question of intent -  she was trying to kill him.  Yeah.  According to this witness. Yes, and their testimony  changes everything, I'm afraid. Makes bail much less likely. ",events,,0.9769731760025024
10035,10035,01:16:54:13,01:17:06:22,5256228221757951173.xml,1324,"What's happened...  ..is me and Honey,  we split up, all right?",events,,0.9769036769866943
7551,7551,00:53:18:22,00:53:19:22,5253646087419594905.xml,942,"I went to the shop, but Heather  told me that you'd come home.",events,,0.9767932891845703
4783,4783,00:23:46:19,00:23:49:17,5251033029316736209.xml,467,"Well, the doors are about to burst. ",events,,0.9767254590988159
21342,21342,00:14:17:24,00:14:22:24,5274434588125702436.xml,249,"I just wasn't expecting us  to end up here, that's all.",events,,0.9767118692398071
2292,2292,00:11:32:22,00:11:33:09,5248439298566680341.xml,212,And now the stupid girl's gone  and fallen for it. What?,events,,0.9766795039176941
9562,9562,00:49:14:08,00:49:18:19,5256228221757951173.xml,851,Suzy?  What about her?  Well... she's accusing me of cheating on you. Apparently with Suzy.,events,,0.9764367341995239
14808,14808,01:45:45:17,01:45:50:19,5264050645694159353.xml,1959,"Cos that ain't gonna happen.  That life, it's all behind me. Is it?  Tonight you beat up your  brother!  You shoved a gun in his face, you threatened to kill him!",events,,0.9763384461402893
20055,20055,00:52:55:21,00:52:58:13,5271844722846213628.xml,1025,Watching you go into  that delivery room...,events,,0.9763365983963013
10406,10406,01:40:06:11,01:40:07:05,5256228221757951173.xml,1695,"Go on then, you'll miss your train. ",events,,0.9762230515480042
3519,3519,01:10:49:09,01:10:52:00,5248439298566680341.xml,1439,"Let me guess, he left the  toilet seat up again, didn't he?",events,,0.97617506980896
11918,11918,01:04:42:11,01:04:48:09,5258818087037440299.xml,1287,"I mean, dropping a kid in it  to a market inspector,",events,,0.9759154319763184
12439,12439,01:34:17:21,01:34:22:21,5258818087037440299.xml,1808,they just crumble. ,events,,0.9758511781692505
5413,5413,00:56:25:15,00:56:28:12,5251033029316736209.xml,1097,"You've got school,  your play, and now your job.",events,,0.9757798910140991
18145,18145,00:33:34:14,00:33:42:17,5269245838135402929.xml,609,You've been charged  with attempted murder. You have a history of antagonism  with the victim who remains in an extremely vulnerable condition.,events,,0.9756331443786621
16916,16916,01:20:27:22,01:20:30:08,5266645664934403562.xml,1485,"Now, whilst you were out  we had a phone call...",events,,0.9754869937896729
8250,8250,01:32:26:15,01:32:27:12,5253646087419594905.xml,1641,This affects Peter and all. ,events,,0.9754297733306885
22200,22200,01:02:24:15,01:02:26:00,5274434588125702436.xml,1107,"Right, so Lucy's having a disco  over at hers, is she?",events,,0.9754201769828796
11961,11961,01:06:25:23,01:06:29:14,5258818087037440299.xml,1330,I can't believe I'm hearing this.  She got everything she deserved.,events,,0.9752829670906067
15790,15790,00:18:43:19,00:18:45:09,5266645664934403562.xml,359,"and then Tanya, and the brother...  You're loving this, aren't you?",events,,0.9752008318901062
2533,2533,00:23:32:11,00:23:33:10,5248439298566680341.xml,453,"Listen, I don't think I can come  to the pub after all.",events,,0.9751784801483154
8459,8459,01:42:56:01,01:42:59:02,5253646087419594905.xml,1850,"So she's changed her mind  about the school trip, has she?",events,,0.9751141667366028
22675,22675,01:27:19:04,01:27:22:04,5274434588125702436.xml,1582,"Come on, Liam, you and Tiff  better get off to school.",events,,0.9750760793685913
15787,15787,00:18:36:14,00:18:40:15,5266645664934403562.xml,356,had it coming didn't he? ,events,,0.9749363660812378
17193,17193,01:35:35:03,01:35:39:22,5266645664934403562.xml,1762,"This time one of them gets loose,  runs riot around the ring. ",events,,0.9748169183731079
9452,9452,00:43:22:06,00:43:23:18,5256228221757951173.xml,741,All right.  You're the reason that he's dead.,events,,0.9746947884559631
10849,10849,00:09:18:10,00:09:22:03,5258818087037440299.xml,218,But I do have this friend.  Now HER son has been acting very strangely. Perhaps HE'S lovesick.,events,,0.974591851234436
5213,5213,00:45:12:09,00:45:23:02,5251033029316736209.xml,897,"You really should go back to bed.  You're not up to this. They faced worse in the Blitz,  Heather.  And there's lives at risk. I must say my piece...  STOP! ",events,,0.9744786620140076
6504,6504,01:52:27:13,01:52:29:22,5251033029316736209.xml,2188,"Have you got any idea what kind  of day I've had? Yeah, I...",events,,0.9744343757629395
16102,16102,00:33:01:20,00:33:04:07,5266645664934403562.xml,671,"Well, he ain't here.  Do you know where he is?",events,,0.9743419885635376
3070,3070,00:50:31:01,00:50:31:23,5248439298566680341.xml,990,"Let it happen sooner rather than  later, well, maybe that's a blessing.",events,,0.9742984771728516
15754,15754,00:16:52:23,00:16:55:24,5266645664934403562.xml,323,"Yeah, only just.  I'm going to check and see what's happening with Jack.",events,,0.9741169214248657
11042,11042,00:19:32:22,00:19:39:02,5258818087037440299.xml,411,"No.  See, um, Honey - my wife -  she, er, she left me  a few weeks back.",events,,0.9740869998931885
6268,6268,01:39:00:23,01:39:02:16,5251033029316736209.xml,1952,"Well, that went well, didn't it? ",events,,0.9740424156188965
8078,8078,01:23:11:09,01:23:22:15,5253646087419594905.xml,1469,"That just made things worse,  Dad, can't you see that? I mean, you giving us  that money in the first place made Stace feel dirty. And giving Callum that cheque...  Well, that just made me  feel like a fool.",events,,0.973994791507721
15833,15833,00:21:06:09,00:21:07:16,5266645664934403562.xml,402,"You throw a strop, stomp out,  leave me in the lurch like that.",events,,0.9739216566085815
17518,17518,01:52:46:04,01:52:48:21,5266645664934403562.xml,2087,I know what happened to Dad. ,events,,0.9739012122154236
19642,19642,00:32:08:16,00:32:11:14,5271844722846213628.xml,612,"And who can blame her, hm?  You lost, Sean. ",events,,0.9738710522651672
22105,22105,00:56:27:14,00:56:30:19,5274434588125702436.xml,1012,It was Jack who tried to kill me. ,events,,0.973763108253479
