,Unnamed: 0,begin,end,filename,shot_id,transcript,death relative,score
18639,18639,01:04:26:04,01:04:32:05,5269245838135402929.xml,1103,"So they lose their old man,  and what they stupidly thought was a good childhood,",99.41912293434143,99.41912293434143
12776,12776,01:53:41:05,01:53:42:02,5258818087037440299.xml,2145,Judgement Day for Max. ,99.40235018730164,99.40235018730164
14290,14290,01:16:15:03,01:16:16:23,5264050645694159353.xml,1441,"I'll be better off under the blanket.  Well, have a nice sleep, Grandma.",99.39714074134827,99.39714074134827
1037,1037,00:56:19:09,00:56:20:12,5245830105934359183.xml,1038,Oh.  Have you been to see Granddad?,99.37056303024292,99.37056303024292
14792,14792,01:44:58:14,01:45:01:05,5264050645694159353.xml,1943,"I haven't been able  to say goodbye to Dad. Did you get your stuff, did you?",99.33446049690247,99.33446049690247
10569,10569,01:50:16:15,01:50:21:03,5256228221757951173.xml,1858,I'm gonna get the people  that killed my dad.,99.33425188064575,99.33425188064575
16346,16346,00:45:46:11,00:45:48:07,5266645664934403562.xml,915,Going to visit your dad?  No.  No.,99.31966066360474,99.31966066360474
6953,6953,00:19:58:09,00:20:01:09,5253646087419594905.xml,344,What are you doing?  My special little girl's  gone forever.,99.31836724281311,99.31836724281311
5661,5661,01:09:45:24,01:09:47:10,5251033029316736209.xml,1345,He wouldn't want you moping  around... You never even knew Kevin.,99.30354952812195,99.30354952812195
7373,7373,00:43:23:14,00:43:25:01,5253646087419594905.xml,764,"So, big news about  your mum, eh? Yeah.",99.28339123725891,99.28339123725891
14318,14318,01:18:21:21,01:18:24:19,5264050645694159353.xml,1469,Granddad's medal. ,99.27874207496643,99.27874207496643
13782,13782,00:46:08:02,00:46:17:22,5264050645694159353.xml,933,"No?  Nothing. I'm gonna have to call the police.  Where's my mobile? I've left it in my other jacket. Bang, bang, you're dead!  Dad! Morgan!",99.27334785461426,99.27334785461426
9256,9256,00:32:30:18,00:32:32:08,5256228221757951173.xml,545,"What, you think I'm going to jump  on Dawn at her fiance's funeral?",99.26687479019165,99.26687479019165
20645,20645,01:25:54:13,01:25:57:11,5271844722846213628.xml,1615,We'll go and see your dad  when they let us.,99.26055073738098,99.26055073738098
13077,13077,00:11:12:00,00:11:14:14,5264050645694159353.xml,228,"You can say goodbye to  all your mates, but can't say anything to your dad?",99.25534129142761,99.25534129142761
15216,15216,02:11:00:15,02:11:03:22,5264050645694159353.xml,2367,"No.  No, no, Grandma.  I'm not going. ",99.23288226127625,99.23288226127625
18980,18980,01:24:05:04,01:24:11:04,5269245838135402929.xml,1444,"No, Aunty Peg, I can't!  Ahhh! ",99.22993183135986,99.22993183135986
17518,17518,01:52:46:04,01:52:48:21,5266645664934403562.xml,2087,I know what happened to Dad. ,99.2203950881958,99.2203950881958
14424,14424,01:24:40:10,01:24:47:16,5264050645694159353.xml,1575,"No, no, no, Stace, Stace, Stace...  I mean, was it Dad?  Was it the fact I let him stay?",99.20369982719421,99.20369982719421
15360,15360,02:19:59:03,02:20:04:03,5264050645694159353.xml,2511,"Is that all right?  Well, um, Dad.  Can you hear me? ",99.18760657310486,99.18760657310486
9733,9733,00:58:43:20,00:58:46:13,5256228221757951173.xml,1022,"No way, Mum, it's probably for Dad  anyway. I'll get it! No, you won't!",99.16422963142395,99.16422963142395
19840,19840,00:42:03:04,00:42:06:12,5271844722846213628.xml,810,Is my old man about? ,99.16327595710754,99.16327595710754
8887,8887,00:09:35:19,00:09:41:22,5256228221757951173.xml,176,"You can't buy me a car!  Grandad's is falling apart out  there.  I mean, it needs replacing.",99.13679361343384,99.13679361343384
3067,3067,00:50:22:16,00:50:26:17,5248439298566680341.xml,987,Look at it this way.  Musty will die. ,99.11327958106995,99.11327958106995
14806,14806,01:45:39:16,01:45:42:23,5264050645694159353.xml,1957,"Just leave Penny out of this!  No, she was a casualty in all this. Who's next?  Oscar?  The girls? No.",99.10686016082764,99.10686016082764
6149,6149,01:33:13:04,01:33:17:18,5251033029316736209.xml,1833,"You ain't said anything to anyone  about Tony, have you?",99.10104870796204,99.10104870796204
11298,11298,00:32:25:21,00:32:31:10,5258818087037440299.xml,667,"There's nothing anyone can do.  So please, Grandma, just...  just leave well alone.",99.0937352180481,99.0937352180481
15748,15748,00:16:33:12,00:16:41:00,5266645664934403562.xml,317,"Where were you when the car  hit your brother? Tell us where you were, Jack. ",99.0667998790741,99.0667998790741
20142,20142,00:58:19:09,00:58:22:18,5271844722846213628.xml,1112,Listen.  They're gonna  wake your dad up tonight.,99.05278086662292,99.05278086662292
20185,20185,00:59:58:21,01:00:02:17,5271844722846213628.xml,1155,You can't see your dad.  Who said I wanted to? This ain't ironed. ,99.01336431503296,99.01336431503296
20160,20160,00:59:22:14,00:59:26:02,5271844722846213628.xml,1130,"You can't see your dad.  Yes, I can. There's nothing to see.",98.99940490722656,98.99940490722656
3262,3262,01:00:19:12,01:00:24:10,5248439298566680341.xml,1182,"This is Tony, um...  Bianca's...  Oh, right, hello.",98.99758696556091,98.99758696556091
20925,20925,01:45:19:11,01:45:22:13,5271844722846213628.xml,1895,Don't say that.  You could never forgive Granddad.,98.97657632827759,98.97657632827759
9819,9819,01:04:14:20,01:04:22:20,5256228221757951173.xml,1108,"Right, he's gone. ",98.97316098213196,98.97316098213196
9851,9851,01:06:29:21,01:06:31:01,5256228221757951173.xml,1140,"Bit full-on -  ""Lee, here's my sister, Jane.""",98.96630644798279,98.96630644798279
17254,17254,01:38:21:19,01:38:22:24,5266645664934403562.xml,1823,One of the Wendys has got  a flat there. Nice spot.,98.96523356437683,98.96523356437683
21458,21458,00:21:32:15,00:21:37:13,5274434588125702436.xml,365,"Can you tell Bianca, when she peels  herself off of her deathbed, that next time, I want a doctor's note.",98.95008206367493,98.95008206367493
15006,15006,01:58:04:20,01:58:07:07,5264050645694159353.xml,2157,"You will see your dad  soon though, I promise.",98.94570708274841,98.94570708274841
22584,22584,01:22:18:17,01:22:24:09,5274434588125702436.xml,1491,What about Abi?  She'll miss you. ,98.9452064037323,98.9452064037323
8920,8920,00:12:27:15,00:12:39:00,5256228221757951173.xml,209,"and if she wanted to bring  the kids that'd be nice. It's a memorial for my dad. You gonna stay with me, Liam?  Yeah?  All right.  Well, I'll see if she's in. Hope it goes well.  Come on, crazy gang.",98.92916679382324,98.92916679382324
3295,3295,01:01:44:11,01:01:46:24,5248439298566680341.xml,1215,"Oh, right, she was gonna  look after Oscar for me.",98.89832139015198,98.89832139015198
16009,16009,00:29:03:14,00:29:06:23,5266645664934403562.xml,578,"It's just, you know, with it being  the Vic and everyone round there... They're gone.  All of them.",98.8904058933258,98.8904058933258
17278,17278,01:39:41:02,01:39:47:03,5266645664934403562.xml,1847,"losing his father...  I mean, poor Sean. He was only 15 when  it happened, and do you know,",98.88879060745239,98.88879060745239
16181,16181,00:37:06:07,00:37:07:13,5266645664934403562.xml,750,"Tanya and Jack were packed up,  ready to clear out. Jack's his brother?",98.88120889663696,98.88120889663696
15154,15154,02:07:46:17,02:07:48:07,5264050645694159353.xml,2305,"I really miss her  sometimes, you know, Pat.",98.8626778125763,98.8626778125763
11534,11534,00:44:30:05,00:44:36:12,5258818087037440299.xml,903,"But I also know that your dad, well, ",98.86114001274109,98.86114001274109
19628,19628,00:31:37:14,00:31:43:11,5271844722846213628.xml,598,"That's his little girl, Ronnie.  She could die and he's not  even gonna get to see her.",98.83705377578735,98.83705377578735
14166,14166,01:09:14:24,01:09:19:16,5264050645694159353.xml,1317,"Grandma, don't spoil  this for me, please.",98.8368272781372,98.8368272781372
19348,19348,00:16:51:05,00:16:53:07,5271844722846213628.xml,318,Your mum's going home  on the next flight.,98.82287383079529,98.82287383079529
9439,9439,00:42:37:17,00:42:42:13,5256228221757951173.xml,728,"""I love you, dad."" ",98.76699447631836,98.76699447631836
9062,9062,00:19:57:06,00:19:58:11,5256228221757951173.xml,351,Frank wouldn't recognise you. ,98.74886274337769,98.74886274337769
19391,19391,00:18:59:13,00:19:00:20,5271844722846213628.xml,361,Don't you think you'd better  take her home?,98.74759316444397,98.74759316444397
19940,19940,00:48:09:19,00:48:10:14,5271844722846213628.xml,910,"You don't reckon she's  gonna make it, do you?",98.73740077018738,98.73740077018738
14580,14580,01:33:26:08,01:33:27:16,5264050645694159353.xml,1731,"Jack, whose blood is it?  It's Max's.",98.64688515663147,98.64688515663147
17319,17319,01:42:56:16,01:43:00:12,5266645664934403562.xml,1888,No way!  Just do it!  It's for Dad.,98.63988757133484,98.63988757133484
18376,18376,00:49:54:08,00:49:57:02,5269245838135402929.xml,840,"Where's Gran?  She's had a migraine, so she's turned in.",98.63967299461365,98.63967299461365
9452,9452,00:43:22:06,00:43:23:18,5256228221757951173.xml,741,All right.  You're the reason that he's dead.,98.63906502723694,98.63906502723694
17174,17174,01:34:30:04,01:34:33:12,5266645664934403562.xml,1743,Can't I come?  Gran knows I'm here. ,98.6287772655487,98.6287772655487
15577,15577,00:06:19:17,00:06:21:21,5266645664934403562.xml,146,You saw the car that  knocked your Dad down?,98.62775802612305,98.62775802612305
10241,10241,01:29:38:03,01:29:42:10,5256228221757951173.xml,1530,I haven't had a chance  to say goodbye to them both yet!,98.62590432167053,98.62590432167053
19092,19092,00:03:40:21,00:03:43:02,5271844722846213628.xml,62,"He didn't even say goodbye, Shirl. ",98.60001802444458,98.60001802444458
11019,11019,00:17:41:13,00:17:44:11,5258818087037440299.xml,388,"Come on, you wouldn't have your poor  old dad thrown out, would you, eh?",98.59583973884583,98.59583973884583
11544,11544,00:45:14:20,00:45:17:08,5258818087037440299.xml,913,Yeah.  I reckon Mo would  have been proud of you.,98.56719374656677,98.56719374656677
860,860,00:47:11:01,00:47:14:20,5245830105934359183.xml,861,It turns out the bloke who used  to live here killed someone.,98.55358600616455,98.55358600616455
21338,21338,00:13:26:19,00:13:32:06,5274434588125702436.xml,245,Hello.  Lauren.  'It's your dad.' ,98.54406118392944,98.54406118392944
19389,19389,00:18:52:23,00:18:57:03,5271844722846213628.xml,359,"No.  William and Holly.  After my nan and granddad. Just gotta find someone  to love me first, haven't I?",98.53994250297546,98.53994250297546
11025,11025,00:18:22:01,00:18:31:24,5258818087037440299.xml,394,"You can paint the face on, V,  fool all the rest of them...  but never your old dad.",98.53576421737671,98.53576421737671
15660,15660,00:11:25:23,00:11:29:17,5266645664934403562.xml,229,Where were you when Max Branning  was run over? I was out.  Where?,98.53288531303406,98.53288531303406
16458,16458,00:53:24:00,00:53:28:09,5266645664934403562.xml,1027,"I've heard more laughs at a funeral!  Maybe we are at a funeral, cos you is dying a death.",98.51270914077759,98.51270914077759
9225,9225,00:30:42:00,00:30:48:20,5256228221757951173.xml,514,I could phone Jay if you want?  No. Not Jay.  He doesn't want me  anywhere near the funeral.,98.51145148277283,98.51145148277283
16982,16982,01:23:48:02,01:23:49:09,5266645664934403562.xml,1551,"Yeah.  All right, Grandma.  Yeah. ",98.45905303955078,98.45905303955078
10032,10032,01:16:47:06,01:16:51:03,5256228221757951173.xml,1321,"Jay, I've had me own stuff  to deal with, all right? Like what?  Like your dad dying?  Someone stopping you from helping him?",98.42818975448608,98.42818975448608
9280,9280,00:33:49:23,00:33:55:07,5256228221757951173.xml,569,"Give up the ghost  after all these years. Oh, right.  Well... ",98.4264075756073,98.4264075756073
20180,20180,00:59:47:21,00:59:49:09,5271844722846213628.xml,1150,"Fine, you take me.  Sorry, I'm not around either. Oh, he's my dad, doesn't anyone care?! Abi...",98.38867783546448,98.38867783546448
14435,14435,01:25:24:09,01:25:31:23,5264050645694159353.xml,1586,"It was just Dad.  Bradley, I'm sorry.  I really am. ",98.3788251876831,98.3788251876831
12227,12227,01:20:06:16,01:20:09:16,5258818087037440299.xml,1596,"Look, you can't hold on to  Roxy forever. Not Roxy.",98.37758541107178,98.37758541107178
20299,20299,01:06:47:22,01:06:56:02,5271844722846213628.xml,1269,"What's the matter?  You had some news about Max?  Er...yeah, yeah. ",98.32906126976013,98.32906126976013
13843,13843,00:50:11:03,00:50:15:15,5264050645694159353.xml,994,"Cutbacks, Grandma.  You know,  they're planning on doing a bit of right-sizing,",98.31851720809937,98.31851720809937
2965,2965,00:46:00:00,00:46:02:21,5248439298566680341.xml,885,"Bloody hell.  Tanya! No, no.",98.29455018043518,98.29455018043518
3121,3121,00:53:10:20,00:53:13:05,5248439298566680341.xml,1041,Just saying goodbye. ,98.27613830566406,98.27613830566406
9134,9134,00:23:57:06,00:24:21:08,5256228221757951173.xml,423,"So, you back, then?  It's Jase's funeral tomorrow.  I just  wondered if you'd come with me? Oh...  Thing is, Dawn,  I've got quite a lot on, you know. I can't just drop everything.  Jase never had many friends  round here. I think he'd like you to have come.  Especially seeing as you were  with him that night.",98.273104429245,98.273104429245
16574,16574,01:00:02:21,01:00:07:19,5266645664934403562.xml,1143,"I mean, I know how you feel about  him, but your father is lying in an hospital bed,",98.25024008750916,98.25024008750916
16570,16570,00:59:50:18,00:59:52:24,5266645664934403562.xml,1139,"All right, if you want the truth,  I am.  I hate this place, Grandma, all right.  I've had enough.",98.23461174964905,98.23461174964905
7209,7209,00:34:19:14,00:34:21:07,5253646087419594905.xml,600,I think he's already gone. ,98.2340931892395,98.2340931892395
16249,16249,00:39:49:09,00:39:54:20,5266645664934403562.xml,818,"Well, I heard it.  You heard it first? Yeah.  I heard it and it was loud  and then I looked out the window and I saw Dad lying on the ground.",98.22725653648376,98.22725653648376
18981,18981,01:24:11:05,01:24:12:19,5269245838135402929.xml,1445,"No Aunty Peg, I can't!  Not yet! ",98.2181191444397,98.2181191444397
11672,11672,00:52:41:14,00:53:10:23,5258818087037440299.xml,1041,"Just get out, Dad!  I don't think you're supposed  to have those.",98.19572567939758,98.19572567939758
8001,8001,01:19:35:08,01:19:40:22,5253646087419594905.xml,1392,"but I don't think he's gonna be for  much longer.  So yes, or no?",98.16262125968933,98.16262125968933
16242,16242,00:39:36:09,00:39:38:13,5266645664934403562.xml,811,Where were you when you saw your dad? ,98.15744757652283,98.15744757652283
6387,6387,01:45:19:08,01:45:21:08,5251033029316736209.xml,2071,I'm gonna lose you for sure  this time.,98.15602898597717,98.15602898597717
19871,19871,00:44:20:01,00:44:22:21,5271844722846213628.xml,841,"Cos that woman ain't coming  back any time soon. Yeah, well, I told you.  We'll manage.",98.1554388999939,98.1554388999939
7701,7701,01:01:14:09,01:01:16:09,5253646087419594905.xml,1092,"No.  No, Grandma.  Everything. ",98.15236926078796,98.15236926078796
21276,21276,00:09:47:11,00:09:48:11,5274434588125702436.xml,183,"Bye, Max. ",98.14999103546143,98.14999103546143
19910,19910,00:46:22:05,00:46:28:23,5271844722846213628.xml,880,"He's at the hospital, in't he?  Long story. I look at you sometimes and I see  your father staring back at me.",98.11477661132812,98.11477661132812
19282,19282,00:12:23:04,00:12:28:18,5271844722846213628.xml,252,He's dead.  The lengths people'll go to  to get away from her.,98.10258746147156,98.10258746147156
11860,11860,01:02:00:06,01:02:03:00,5258818087037440299.xml,1229,"Oh, can I have my phone back?  As long as you promise  not to call your dad.",98.09231162071228,98.09231162071228
21711,21711,00:33:47:00,00:33:48:22,5274434588125702436.xml,618,"But you'll be up there  soon enough, won't ya?",98.09153079986572,98.09153079986572
17326,17326,01:43:16:07,01:43:18:15,5266645664934403562.xml,1895,"We ask that in the power  of your love, Max may be made well.",98.08967113494873,98.08967113494873
10815,10815,00:07:13:18,00:07:16:02,5258818087037440299.xml,184,BANGING  He won't be for much longer with Bob the Builder there... BANGING  He won't be for much longer with Bob the Builder there...,98.08192849159241,98.08192849159241
14252,14252,01:14:40:10,01:14:43:15,5264050645694159353.xml,1403,There's no visits.  Nothing.  They're gone now and they're  no longer part of your life.,98.0755627155304,98.0755627155304
20065,20065,00:53:40:19,00:53:57:19,5271844722846213628.xml,1035,You get better soon.  Because your mummy  is gonna need you.,98.07034134864807,98.07034134864807
11565,11565,00:46:02:14,00:46:04:03,5258818087037440299.xml,934,"OK, let's go over the Vic.  Oscar? Well, Abi and Lauren can take care of him.",98.04781079292297,98.04781079292297
822,822,00:45:31:14,00:45:33:15,5245830105934359183.xml,823,"You do want this party  for Tony, don't ya?",98.03948998451233,98.03948998451233
10433,10433,01:41:37:17,01:41:39:22,5256228221757951173.xml,1722,"I mean now that you know she's dead,  surely you can let it all go?  Mmm?",98.02985191345215,98.02985191345215
4147,4147,01:45:33:24,01:45:37:05,5248439298566680341.xml,2067,"When my mum died, everyone  expected me to stick around.",98.01369309425354,98.01369309425354
13881,13881,00:52:02:14,00:52:04:05,5264050645694159353.xml,1032,He's gone. ,97.99971580505371,97.99971580505371
18533,18533,00:57:37:02,00:57:40:05,5269245838135402929.xml,997,"Well, smile then, Mother, you're  going to see your beloved son again.",97.9928731918335,97.9928731918335
10278,10278,01:31:43:20,01:31:46:06,5256228221757951173.xml,1567,"Jay, listen mate, you can't  come and live with me today.",97.98755645751953,97.98755645751953
20529,20529,01:18:31:02,01:18:34:11,5271844722846213628.xml,1499,He's your brother.  And I can't help him.,97.97710180282593,97.97710180282593
6779,6779,00:10:10:20,00:10:12:14,5253646087419594905.xml,170,What are you doing here?  I'm checking on my nephew. ,97.92686104774475,97.92686104774475
8757,8757,00:02:43:14,00:02:54:23,5256228221757951173.xml,46,"What's in there, anyway?  It weighs a ton. Something I got for your father.  A sort of...memorial. ",97.92309999465942,97.92309999465942
20496,20496,01:16:29:11,01:16:31:20,5271844722846213628.xml,1466,"And then go and see Roxy,  and tell her you're sorry.",97.91498184204102,97.91498184204102
6882,6882,00:16:18:02,00:16:20:05,5253646087419594905.xml,273,"Sorry, mate, you've lost me. ",97.91240692138672,97.91240692138672
14837,14837,01:47:32:00,01:47:37:15,5264050645694159353.xml,1988,Dad... ,97.90758490562439,97.90758490562439
3550,3550,01:12:33:13,01:12:36:01,5248439298566680341.xml,1470,I can't keep her. ,97.88114428520203,97.88114428520203
20126,20126,00:57:22:21,00:57:24:10,5271844722846213628.xml,1096,"Just tell me.  Look, Jack's just out, all right?",97.84813523292542,97.84813523292542
8964,8964,00:15:07:15,00:15:09:00,5256228221757951173.xml,253,Whitney...  Bye.,97.84283638000488,97.84283638000488
15083,15083,02:02:47:05,02:02:51:07,5264050645694159353.xml,2234,"I used to do this when I was little  for my sister, Joan.",97.84141778945923,97.84141778945923
7163,7163,00:32:14:22,00:32:16:05,5253646087419594905.xml,554,"Um, my sister-in-law. ",97.83801436424255,97.83801436424255
3400,3400,01:06:23:21,01:06:28:05,5248439298566680341.xml,1320,"Yeah, I loved Rolf.  Then Marge.  And then when they  died I loved Gilbert instead.",97.83768057823181,97.83768057823181
15002,15002,01:57:53:13,01:57:56:18,5264050645694159353.xml,2153,"I'm afraid you can't come in here,  love.  Not right now. He's my dad, I need to talk to him!  I'm so sorry.  Come on, Abi.  Let's let them do their job. He needs us!",97.77944684028625,97.77944684028625
15207,15207,02:10:21:06,02:10:38:11,5264050645694159353.xml,2358,"Just out.  Come on, Grandma, I've been  home later than this before. Anyway what's with,  what's with the police outside. It's like Piccadilly Circus  out there. It's...your father.  He's been in an accident.  He's been run down by a car",97.77730703353882,97.77730703353882
17120,17120,01:31:17:21,01:31:19:17,5266645664934403562.xml,1689,He's the father of my kids.  Am I supposed to let him rot? He's my brother.  I still care about him.,97.74776101112366,97.74776101112366
11042,11042,00:19:32:22,00:19:39:02,5258818087037440299.xml,411,"No.  See, um, Honey - my wife -  she, er, she left me  a few weeks back.",97.72286415100098,97.72286415100098
11997,11997,01:07:50:08,01:07:54:10,5258818087037440299.xml,1366,Au revoir. ,97.7094292640686,97.7094292640686
13086,13086,00:11:32:02,00:11:33:07,5264050645694159353.xml,237,Half-past nine.  Forget your dad ever existed.,97.67202138900757,97.67202138900757
22994,22994,01:44:39:12,01:44:42:16,5274434588125702436.xml,1901,Ben'll miss you.  I'll write to him.,97.66600131988525,97.66600131988525
19133,19133,00:05:17:24,00:05:29:03,5271844722846213628.xml,103,Who unfortunately can't be  with us this evening. And it is a voucher that entitles the  holder to an all-over body treatment.,97.64949679374695,97.64949679374695
19096,19096,00:03:51:08,00:04:01:11,5271844722846213628.xml,66,"Hello.  Where's Dad^? Decided to leave us to it,  didn't he? Mum, why don't you  have a nice shower...? And sober up.",97.6356565952301,97.6356565952301
22520,22520,01:17:55:15,01:17:58:08,5274434588125702436.xml,1427,"Close the door...  I know it was you, Jack.",97.63484001159668,97.63484001159668
19742,19742,00:37:06:24,00:37:08:23,5271844722846213628.xml,712,"""What the hell happened  to Vinnie Monks?""",97.6216733455658,97.6216733455658
21376,21376,00:16:35:16,00:16:38:14,5274434588125702436.xml,283,Just when I'm used to having  my dad around.,97.6061463356018,97.6061463356018
12080,12080,01:12:19:21,01:12:22:11,5258818087037440299.xml,1449,"Hey, where's Roxy?  She's resting.",97.54862189292908,97.54862189292908
19885,19885,00:45:09:06,00:45:17:12,5271844722846213628.xml,855,"Listen, what is all this?  Can't a son show a bit of interest  in his old man? Yeah, well, she was staying at the hotel in Southend.",97.53297567367554,97.53297567367554
17324,17324,01:43:05:14,01:43:08:16,5266645664934403562.xml,1893,"Dear Jesus.  We at this table  pray for a much-loved son, father, brother, friend.",97.50093221664429,97.50093221664429
9337,9337,00:36:00:02,00:36:17:24,5256228221757951173.xml,626,"This don't seem real, this.  I should've marrying him, not burying him. Come on, let's just go and sit down. ",97.49966859817505,97.49966859817505
3140,3140,00:54:22:15,00:54:24:07,5248439298566680341.xml,1060,"And while you're at it, why don't  you ask him what happened to Penny.",97.46383428573608,97.46383428573608
8821,8821,00:05:50:22,00:05:55:23,5256228221757951173.xml,110,"Yes, darling.  I'm, um, having a little thing  in the gardens later for Frank.",97.45879769325256,97.45879769325256
15579,15579,00:06:23:14,00:06:26:16,5266645664934403562.xml,148,"I just want to know what you saw.  Her dad's in intensive care,  I don't want you speaking to her.",97.452712059021,97.452712059021
14008,14008,01:00:22:01,01:00:26:13,5264050645694159353.xml,1159,"I just need to speak to your father.  Just for a minute, please.",97.42922782897949,97.42922782897949
18937,18937,01:22:11:18,01:22:14:07,5269245838135402929.xml,1401,"Is she your mother?  Well, get her off me, will ya?",97.42326140403748,97.42326140403748
18872,18872,01:18:36:01,01:18:47:05,5269245838135402929.xml,1336,"I'm sorry, Ian.  I don't need him.  I've got you,  I've got Ronnie,  I've got Dad.  Yeah, I'm well out of it.  Bit of a result actually.",97.39835262298584,97.39835262298584
18489,18489,00:55:14:14,00:55:18:12,5269245838135402929.xml,953,And if Max dies...  her kids'll be adults by  the time she's let out.,97.3936676979065,97.3936676979065
17149,17149,01:33:29:05,01:33:30:10,5266645664934403562.xml,1718,"Look, I'm sorry Mo can't make it. ",97.36696481704712,97.36696481704712
13245,13245,00:19:36:08,00:19:42:07,5264050645694159353.xml,396,Ah-ha!  May I present  the Countess Dracula!,97.34851717948914,97.34851717948914
17396,17396,01:46:17:16,01:46:19:22,5266645664934403562.xml,1965,Can you please tell  that mother of yours,97.34408259391785,97.34408259391785
21836,21836,00:41:06:12,00:41:07:23,5274434588125702436.xml,743,Do you know how Oscar's doing? ,97.32930064201355,97.32930064201355
22530,22530,01:18:12:21,01:18:14:12,5274434588125702436.xml,1437,I'm not going to a concert!  I'm moving in with Uncle Jack.,97.32038974761963,97.32038974761963
9111,9111,00:22:40:08,00:22:49:22,5256228221757951173.xml,400,"Well, obviously not her.  No.  You know who the next one's  gonna be. Yeah? Dot or Mo.  If it is, you've still got to do it.",97.30663895606995,97.30663895606995
