,begin,end,filename,shot_id,transcript
257,00:12:43:09,00:12:44:23,5300410550331962313.xml,258,You can cook your food when  we've finished our own prep and not before!
258,00:12:44:24,00:12:46:24,5300410550331962313.xml,259,
259,00:12:47:00,00:12:48:05,5300410550331962313.xml,260,
260,00:12:48:06,00:12:49:04,5300410550331962313.xml,261,
261,00:12:49:05,00:12:49:24,5300410550331962313.xml,262,
262,00:12:50:00,00:12:51:22,5300410550331962313.xml,263,"Mas, will you please let me in!  Zee!"
263,00:12:51:23,00:12:53:01,5300410550331962313.xml,264,
264,00:12:53:02,00:12:58:15,5300410550331962313.xml,265,"Jane!  Peter, I'm really sorry!  I thought it was her. The papers I collected earlier.  There's something you gotta see."
265,00:12:58:16,00:13:02:09,5300410550331962313.xml,266,
266,00:13:02:10,00:13:03:17,5300410550331962313.xml,267,
267,00:13:03:18,00:13:04:24,5300410550331962313.xml,268,
268,00:13:05:00,00:13:06:02,5300410550331962313.xml,269,
269,00:13:06:03,00:13:06:09,5300410550331962313.xml,270,
270,00:13:06:10,00:13:09:15,5300410550331962313.xml,271,Tah-dah!  What's up? 
271,00:13:09:16,00:13:13:18,5300410550331962313.xml,272,"How did you get in?  What's all this?  I got the keys off Ricky.  I had to promise I'd run  the switchboard, but it meant that I got to surprise you."
272,00:13:13:19,00:13:15:09,5300410550331962313.xml,273,
273,00:13:15:10,00:13:16:23,5300410550331962313.xml,274,
274,00:13:16:24,00:13:19:01,5300410550331962313.xml,275,I figured that this would be  a much better birthday present than what I got you.
275,00:13:19:02,00:13:20:09,5300410550331962313.xml,276,
276,00:13:20:10,00:13:21:18,5300410550331962313.xml,277,
277,00:13:21:19,00:13:23:07,5300410550331962313.xml,278,What's wrong?  Don't you like it?  I'm not gonna paint over the mural.
278,00:13:23:08,00:13:26:05,5300410550331962313.xml,279,
279,00:13:26:06,00:13:27:11,5300410550331962313.xml,280,"No, I love it, it's just...  Well,  I just bumped into Jack, and..."
280,00:13:27:12,00:13:31:19,5300410550331962313.xml,281,"put it this way,  he weren't exactly keen to hand over the deeds to this place."
281,00:13:31:20,00:13:35:11,5300410550331962313.xml,282,
282,00:13:35:12,00:13:37:20,5300410550331962313.xml,283,"But you guys signed a contract,  right?  He has to keep to that."
283,00:13:37:21,00:13:39:12,5300410550331962313.xml,284,
284,00:13:39:13,00:13:41:08,5300410550331962313.xml,285,He's probably just busy or having  a bad day or something.  I got some doughnuts and real coffee.
285,00:13:41:09,00:13:45:21,5300410550331962313.xml,286,"I would put the kettle on,  but if you think we shouldn't be here yet..."
286,00:13:45:22,00:13:50:12,5300410550331962313.xml,287,"No, don't be silly.  I mean,  we still wanna celebrate my 18th, and I think you've done a good job."
287,00:13:50:13,00:13:52:07,5300410550331962313.xml,288,
288,00:13:52:08,00:13:57:00,5300410550331962313.xml,289,"I mean, the place looks top notch.  Look, I'll stick the kettle on. "
289,00:13:57:01,00:14:07:04,5300410550331962313.xml,290,What was that?  Did I just do that?  Come with me.  What? Come on...  Where you taking me?
290,00:14:07:05,00:14:08:13,5300410550331962313.xml,291,
291,00:14:08:14,00:14:09:22,5300410550331962313.xml,292,
292,00:14:09:23,00:14:34:04,5300410550331962313.xml,293,"I just don't get it.  It's dated last week. And postmarked London!  He's back from Florida... Why keep it so quiet?  Hang on...  I've seen that envelope before. So much for Deirdre.  She's not just keeping it quiet,  she's actively lying about it. Why hasn't she invited Dad over? "
293,00:14:34:05,00:14:38:04,5300410550331962313.xml,294,"Because he's a lying,  cheating rat is why. It says here he's sorry.  Oh, well, in that case, what was I thinking!"
294,00:14:38:05,00:14:52:23,5300410550331962313.xml,295,"I mean doing the dirty  with the nurse she employed for him, and who knows what else in  their 40 years of marriage, that's fine, so long as he's sorry. Guys!  Isn't it her decision anyway?  Well, why show us this, then?  I thought you were worried about her."
295,00:14:52:24,00:14:54:04,5300410550331962313.xml,296,I was.  Am.  I thought it might help you understand. Not help you tell her what to do.
296,00:14:54:05,00:15:00:00,5300410550331962313.xml,297,Look at this roomful of mucky pups. 
